station,target,algo,variant_id,window_size,feature_variant,params,rmse_mean,rmse_std,r2_mean,mae_mean,holdout_rmse,holdout_r2,n_train_avg,n_folds,train_time_sec,feature_importances,error
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#015,14,calendar,"{""learning_rate"": 0.1, ""max_depth"": 12, ""min_data_in_leaf"": 20, ""n_estimators"": 600, ""num_leaves"": 15, ""reg_lambda"": 1.0}",4.9872713080953055,4.167829302181016,-0.15126637755403297,3.82245250233532,0.5027363004499784,0.0,161.0,5,1.4586616000015056,"{""TasaSeveros_lag1"": 0.017016887972154185, ""TasaSeveros_roll7d"": 0.011731339435348717, ""dpv"": 0.015340982338532937, ""dpv_lag10"": 0.018821709423746294, ""dpv_lag13"": 0.0235915946886683, ""dpv_lag14"": 0.014309655794766018, ""humedad_Hd05_lag10"": 0.01650122470027072, ""humedad_Hd55_lag9"": 0.011731339435348717, ""tmax"": 0.011731339435348717, ""tmax_lag1"": 0.017274719608095915, ""tmax_lag7"": 0.011989171071290447, ""tmin_lag13"": 0.015727729792445532, ""tmin_lag2"": 0.013149413433028232, ""tmin_lag4"": 0.011086760345494393, ""tmin_lag8"": 0.012118086889261312}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#016,14,basic,"{""learning_rate"": 0.03, ""max_depth"": 8, ""min_data_in_leaf"": 5, ""n_estimators"": 600, ""num_leaves"": 15, ""reg_lambda"": 0.1}",4.941973857010562,4.249995010494572,0.007161466736238631,3.5311262126940988,0.20534846459490486,0.0,161.0,5,1.8926018999991356,"{""TasaSeveros_lag1"": 0.017183414269704895, ""day_cos"": 0.03349520607645374, ""dpv_lag14"": 0.018428589216784957, ""dpv_lag3"": 0.013323371933756692, ""humedad_Hd05_lag14"": 0.03474038102353381, ""humedad_Hd05_lag9"": 0.022164114058025153, ""humedad_Hd15_lag9"": 0.026024156393973354, ""humedad_Hd25_lag9"": 0.013945959407296725, ""humedad_Hd45"": 0.017930519237952934, ""humedad_Hd45_lag9"": 0.013945959407296725, ""humedad_Hd55_lag1"": 0.014693064375544764, ""pluv_lag10"": 0.014319511891420745, ""tmax_lag1"": 0.019922799153281035, ""tmax_lag2"": 0.016062756817332834, ""tmin_lag14"": 0.012576266965508655}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#017,7,target_only,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_data_in_leaf"": 40, ""n_estimators"": 300, ""num_leaves"": 63, ""reg_lambda"": 0.1}",4.45183564245433,3.2008943082468186,-0.3415462145176894,3.3130583209618094,0.5062978032433243,0.0,161.0,5,0.1808026999933645,"{""TasaSeveros_ema30"": 0.747534516765286, ""TasaSeveros_ema70"": 0.042735042735042736, ""TasaSeveros_lag1"": 0.022353714661406968, ""TasaSeveros_lag6"": 0.011834319526627219, ""TasaSeveros_lag7"": 0.01972386587771203, ""TasaSeveros_median14d"": 0.06969099276791585, ""TasaSeveros_roll14d"": 0.07560815253122946, ""TasaSeveros_roll7d"": 0.01051939513477975}",
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#018,21,ema,"{""learning_rate"": 0.1, ""max_depth"": 12, ""min_data_in_leaf"": 5, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0}",,,,,,,90.0,2,0.4647125000046799,{},early_stopped_worse_than_baseline
RDC_62_6-3_O,TasaSeveros,LightGBM,LightGBM#019,3,target_only,"{""learning_rate"": 0.01, ""max_depth"": 8, ""min_data_in_leaf"": 5, ""n_estimators"": 300, ""num_leaves"": 127, ""reg_lambda"": 0.0}",3.495873132397336,2.2143708938139968,0.26669264159293815,2.0831296554159975,0.5435596762284821,0.0,161.0,5,0.5218594999969355,"{""TasaSeveros_diff1d"": 0.006108342710175213, ""TasaSeveros_ema30"": 0.36585757916733647, ""TasaSeveros_ema70"": 0.11573701977174088, ""TasaSeveros_lag1"": 0.04806301237743128, ""TasaSeveros_lag3"": 0.006269088570969298, ""TasaSeveros_median14d"": 0.04806301237743128, ""TasaSeveros_median7d"": 0.008680276482880566, ""TasaSeveros_roll14d"": 0.2393505867223919, ""TasaSeveros_roll3d"": 0.017521298826555218, ""TasaSeveros_roll7d"": 0.14434978299308793}",
RDC_62_6-3_O,TasaSeveros,XGBoost,XGBoost#000,2,basic,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 7, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.85}",3.947245439684753,3.316956327369716,0.194235719509803,2.738240411569145,2.1610078323088144,0.0,163.0,5,1.6818157000016072,"{""TasaSeveros_lag1"": 0.4710767511185209, ""TasaSeveros_lag2"": 0.03390232963907139, ""TasaSeveros_roll2d"": 0.22628861455371363, ""day_cos"": 0.00701625592436255, ""day_sin"": 0.013098160683309809, ""dpv"": 0.007889623160852148, ""dpv_lag1"": 0.012629264947936111, ""humedad_Hd15"": 0.010990745493382423, ""humedad_Hd25_lag2"": 0.01806165887289671, ""humedad_Hd45"": 0.012051888767223084, ""humedad_Hd45_lag1"": 0.0208248294142043, ""humedad_Hd45_roll2d"": 0.008289428736219852, ""humedad_Hd65_lag1"": 0.00976076741928987, ""humedad_Hd65_roll2d"": 0.011913089117745516, ""tmax_lag2"": 0.006960426399838734}",
RDC_62_6-3_O,TasaSeveros,XGBoost,XGBoost#001,2,robust_smoothing,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 1.0}",4.642570549825043,4.1126327453766365,-0.03142181348047261,3.3695948536727416,0.8791262550712555,0.0,161.0,5,1.5541787999973167,"{""TasaSeveros_diff1d"": 0.005194878624746781, ""TasaSeveros_lag1"": 0.38221355930047224, ""TasaSeveros_median14d"": 0.06036842187763656, ""TasaSeveros_roll2d"": 0.36797234086124864, ""day_cos"": 0.0064447395857079775, ""day_sin"": 0.006869133965929856, ""dpv_median7d"": 0.008903690533985648, ""humedad_Hd15"": 0.005706395437075171, ""humedad_Hd25"": 0.004087531436843349, ""humedad_Hd35_diff1d"": 0.015024291216746461, ""humedad_Hd45_median14d"": 0.01365209358612566, ""humedad_Hd45_roll2d"": 0.014858992637104993, ""humedad_Hd65"": 0.0074742207564910184, ""tmax_lag1"": 0.0047694355753152866, ""tmin_median7d"": 0.0035447470991670595}",
RDC_62_6-3_O,TasaSeveros,XGBoost,XGBoost#002,7,basic,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_lambda"": 0.1, ""subsample"": 0.85}",4.327368545971705,4.368509316101487,0.06200960396153983,3.2370642932042215,1.6546517178694204,0.0,163.0,5,5.237660600003437,"{""TasaSeveros_lag1"": 0.7429266140192111, ""TasaSeveros_lag7"": 0.025493797112991462, ""TasaSeveros_roll7d"": 0.02232226606824774, ""day_cos"": 0.010196713251280997, ""day_sin"": 0.00913881756587911, ""humedad_Hd15_lag2"": 0.007174492752364813, ""humedad_Hd15_lag3"": 0.006949301313284886, ""humedad_Hd45"": 0.029689058279214166, ""humedad_Hd45_lag1"": 0.008423853431456909, ""humedad_Hd45_lag2"": 0.004965597542319106, ""humedad_Hd55"": 0.0036540149777948214, ""humedad_Hd65_lag1"": 0.00309904994407959, ""humedad_Hd75_lag6"": 0.0034716601802690906, ""tmax_lag3"": 0.004255519591108612, ""tmax_roll7d"": 0.020709917809306404}",
RDC_62_6-3_O,TasaSeveros,XGBoost,XGBoost#003,10,soil_profile,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 1.0}",4.935135623082465,4.501382701261889,-0.09336114894436234,3.4957042853943947,0.29913874815181196,0.0,161.0,5,4.248719399998663,"{""TasaSeveros_lag1"": 0.6100795443282497, ""TasaSeveros_lag3"": 0.018543625831096654, ""TasaSeveros_lag6"": 0.05122357252755405, ""TasaSeveros_lag7"": 0.009562881002315159, ""TasaSeveros_lag8"": 0.012802725704031225, ""TasaSeveros_roll7d"": 0.03438406944980396, ""day_cos"": 0.012417432924937011, ""humedad_Hd05"": 0.00812916680849102, ""humedad_Hd15_lag1"": 0.011814809518823334, ""humedad_Hd35"": 0.014671338639134402, ""humedad_Hd45"": 0.017316673616445902, ""humedad_Hd55"": 0.009493640898969688, ""humedad_Hd55_lag9"": 0.046989951759395736, ""humedad_profile_std"": 0.012433559705524134, ""pluv_lag10"": 0.012369622552551906}",
RDC_62_6-3_O,TasaSeveros,XGBoost,XGBoost#004,10,full,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 0.1, ""subsample"": 1.0}",4.571239730683803,2.721231875140728,0.2931726498107277,2.3019908065242776,0.25591160545108693,0.0,156.0,5,3.1916787999944063,"{""TasaSeveros_ema30"": 0.10315251591961985, ""TasaSeveros_ema70"": 0.1689959058997434, ""TasaSeveros_lag1"": 0.1655216255802323, ""TasaSeveros_lag7"": 0.021541994569509622, ""TasaSeveros_median14d"": 0.040638090131642046, ""TasaSeveros_roll3d"": 0.09822834513141372, ""humedad_Hd05_roll30d"": 0.011607976902161853, ""humedad_Hd05_roll7d"": 0.010528134428639901, ""humedad_Hd15_roll30d"": 0.011031921279982189, ""humedad_Hd45"": 0.01753041748031427, ""humedad_Hd45_diff1d"": 0.017728850660644137, ""humedad_Hd45_lag1"": 0.03480992920257091, ""pluv_ema70"": 0.03757714568158585, ""pluv_lag10"": 0.025847852835368498, ""tmin_median7d"": 0.010856640779399447}",
