# Started: 2026-05-09T22:25:24.3692703+02:00
# Command: backend\.venv\Scripts\python.exe -u -m backend.scripts.training_experiments.run_experiments --include-optional-boosters --skip-lstm --station Control_59_3-3_O --station RDC_62_6-3_O --station Secano_53_3-2_O --output-dir backend/scripts/training_experiments/results/full_platform_no_telemetry

2026-05-09 22:25:44,651 INFO Station Control_59_3-3_O: rows=448, holdout_idx=380, platform_inputs=humedad_Hd05,humedad_Hd15,humedad_Hd25,humedad_Hd35,humedad_Hd45,humedad_Hd55,humedad_Hd65,humedad_Hd75,tmax,tmin,pluv,dpv
2026-05-09 22:25:46,888 INFO Control_59_3-3_O | MCD | HistGB | HistGB#BASELINE W=7 V=basic rmse=191.2635±150.8681 ho=106.7523 t=2.1s OK
2026-05-09 22:36:54,930 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#003 W=21 V=soil_profile rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:54,969 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#004 W=7 V=calendar rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:55,179 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#005 W=21 V=irrigation_memory rmse=254.1035±109.1924 ho=201.7144 t=0.1s OK
2026-05-09 22:36:55,453 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#006 W=28 V=multi_roll rmse=261.9561±116.4351 ho=188.4292 t=0.1s OK
2026-05-09 22:36:55,485 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#007 W=2 V=long_lags rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:55,533 INFO Control_59_3-3_O | MCD | SVR | SVR#000 W=2 V=calendar rmse=216.0958±110.6442 ho=132.5060 t=0.0s OK
2026-05-09 22:36:55,674 INFO Control_59_3-3_O | MCD | SVR | SVR#001 W=14 V=irrigation_memory rmse=209.9906±96.6494 ho=129.5245 t=0.0s OK
2026-05-09 22:36:55,731 INFO Control_59_3-3_O | MCD | SVR | SVR#002 W=3 V=stress_indices rmse=165.0535±61.3397 ho=120.0465 t=0.0s OK
2026-05-09 22:36:55,935 INFO Control_59_3-3_O | MCD | SVR | SVR#003 W=7 V=full rmse=225.0769±139.1049 ho=130.1844 t=0.0s OK
2026-05-09 22:36:56,031 INFO Control_59_3-3_O | MCD | SVR | SVR#004 W=7 V=ema rmse=242.8950±118.5250 ho=127.4552 t=0.0s OK
2026-05-09 22:36:56,100 INFO Control_59_3-3_O | MCD | SVR | SVR#005 W=5 V=stress_indices rmse=241.6399±141.3173 ho=122.2441 t=0.0s OK
2026-05-09 22:36:56,138 INFO Control_59_3-3_O | MCD | SVR | SVR#006 W=10 V=irrigation_memory rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:56,186 INFO Control_59_3-3_O | MCD | SVR | SVR#007 W=10 V=long_lags rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:56,214 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#000 W=10 V=target_only rmse=232.0430±83.4446 ho=149.0240 t=0.0s OK
2026-05-09 22:36:56,355 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#001 W=7 V=long_lags rmse=201.7653±132.7400 ho=123.7605 t=0.1s OK
2026-05-09 22:36:56,445 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#002 W=7 V=long_lags rmse=198.9323±107.9508 ho=125.3922 t=0.0s OK
2026-05-09 22:36:56,471 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#003 W=3 V=target_only rmse=197.5271±146.8313 ho=125.1036 t=0.0s OK
2026-05-09 22:36:57,553 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#004 W=35 V=soil_profile rmse=nan±nan ho=nan t=1.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:58,911 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#005 W=35 V=full rmse=nan±nan ho=nan t=1.2s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:01,348 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#006 W=21 V=stress_indices rmse=137.7961±57.3669 ho=105.5764 t=2.0s OK
2026-05-09 22:37:02,330 INFO Control_59_3-3_O | MCD | ElasticNet | ElasticNet#007 W=14 V=full rmse=nan±nan ho=nan t=0.9s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:02,394 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#000 W=5 V=soil_profile rmse=183.1942±98.5244 ho=123.6373 t=0.0s OK
2026-05-09 22:37:02,554 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#001 W=35 V=full rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:02,669 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#002 W=35 V=stress_indices rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:02,698 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#003 W=21 V=target_only rmse=171.4684±81.6307 ho=127.7929 t=0.0s OK
2026-05-09 22:37:02,750 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#004 W=14 V=ema rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:02,834 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#005 W=10 V=stress_indices rmse=239.2122±44.0582 ho=137.7200 t=0.0s OK
2026-05-09 22:37:02,865 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#006 W=28 V=target_only rmse=157.2392±71.1028 ho=124.9067 t=0.0s OK
2026-05-09 22:37:02,933 INFO Control_59_3-3_O | MCD | PLSRegression | PLSRegression#007 W=21 V=irrigation_memory rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:04,799 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#000 W=14 V=calendar rmse=158.7625±102.1100 ho=100.6527 t=1.2s OK
2026-05-09 22:37:07,784 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#001 W=3 V=ema rmse=186.9917±139.5742 ho=100.6219 t=2.2s OK
2026-05-09 22:37:08,014 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#002 W=28 V=stress_indices rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:09,233 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#003 W=7 V=calendar rmse=166.8418±101.3139 ho=100.8466 t=0.9s OK
2026-05-09 22:37:09,389 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#004 W=14 V=irrigation_memory rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:09,888 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#005 W=7 V=irrigation_memory rmse=163.7149±130.7998 ho=98.8586 t=0.3s OK
2026-05-09 22:37:11,002 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#006 W=10 V=target_only rmse=187.0183±109.6780 ho=134.0350 t=0.9s OK
