data,timestamp
3.0,2025-03-10T07:57:09Z
2.0,2025-03-10T08:27:09Z
1.0,2025-03-10T10:12:09Z
1.0,2025-03-10T10:27:09Z
2.0,2025-03-10T10:42:09Z
2.0,2025-03-10T12:42:19Z
5.0,2025-03-10T13:27:19Z
1.0,2025-03-10T18:57:19Z
4.0,2025-03-10T19:42:19Z
6.0,2025-03-10T19:57:19Z
32.0,2025-03-10T20:12:19Z
1.0,2025-03-10T20:42:19Z
1.0,2025-03-10T20:57:19Z
5.0,2025-03-10T21:12:19Z
1.0,2025-03-10T21:27:19Z
2.0,2025-03-10T21:57:19Z
1.0,2025-03-10T23:12:19Z
1.0,2025-03-10T23:42:19Z
9.0,2025-03-11T00:27:19Z
10.0,2025-03-11T00:42:19Z
1.0,2025-03-11T01:12:19Z
3.0,2025-03-11T01:27:19Z
6.0,2025-03-11T01:42:19Z
22.0,2025-03-11T01:57:19Z
10.0,2025-03-11T02:12:19Z
1.0,2025-03-11T02:57:19Z
2.0,2025-03-11T10:12:19Z
1.0,2025-03-11T12:12:19Z
6.0,2025-03-12T15:27:29Z
6.0,2025-03-12T15:42:29Z
1.0,2025-03-12T15:57:29Z
3.0,2025-03-12T16:27:29Z
1.0,2025-03-12T16:42:29Z
1.0,2025-03-12T17:42:29Z
1.0,2025-03-13T02:57:39Z
7.0,2025-03-13T03:12:39Z
6.0,2025-03-13T03:27:39Z
15.0,2025-03-13T03:42:39Z
4.0,2025-03-13T03:57:39Z
1.0,2025-03-13T04:12:39Z
10.0,2025-03-13T05:42:39Z
8.0,2025-03-13T05:57:39Z
4.0,2025-03-13T06:12:39Z
8.0,2025-03-13T06:27:39Z
7.0,2025-03-13T06:42:39Z
5.0,2025-03-13T06:57:39Z
1.0,2025-03-13T07:12:39Z
1.0,2025-03-13T07:57:39Z
1.0,2025-03-13T08:42:39Z
3.0,2025-03-13T08:57:39Z
1.0,2025-03-13T09:12:39Z
7.0,2025-03-13T09:57:39Z
2.0,2025-03-13T10:12:39Z
2.0,2025-03-13T10:27:39Z
1.0,2025-03-13T10:42:39Z
2.0,2025-03-13T11:12:39Z
4.0,2025-03-13T11:27:39Z
7.0,2025-03-13T11:57:39Z
1.0,2025-03-13T12:12:39Z
1.0,2025-03-13T12:27:39Z
1.0,2025-03-13T13:12:39Z
1.0,2025-03-13T13:27:39Z
4.0,2025-03-13T13:57:39Z
3.0,2025-03-13T14:12:39Z
3.0,2025-03-13T14:42:39Z
1.0,2025-03-13T14:57:39Z
2.0,2025-03-13T15:12:39Z
1.0,2025-03-13T15:27:39Z
3.0,2025-03-14T00:27:50Z
3.0,2025-03-14T00:42:50Z
1.0,2025-03-14T00:57:50Z
1.0,2025-03-14T01:12:50Z
2.0,2025-03-14T01:42:50Z
2.0,2025-03-14T01:57:50Z
6.0,2025-03-14T02:12:50Z
6.0,2025-03-14T02:27:50Z
1.0,2025-03-14T02:42:50Z
1.0,2025-03-14T02:57:50Z
1.0,2025-03-14T03:12:50Z
1.0,2025-03-14T03:27:50Z
1.0,2025-03-14T04:12:50Z
1.0,2025-03-14T09:12:50Z
2.0,2025-03-14T15:27:50Z
8.0,2025-03-14T16:42:50Z
17.0,2025-03-14T16:57:50Z
1.0,2025-03-14T17:12:50Z
8.0,2025-03-16T01:13:20Z
1.0,2025-03-16T01:28:20Z
1.0,2025-03-16T01:43:20Z
10.0,2025-03-16T01:58:20Z
6.0,2025-03-16T02:13:20Z
1.0,2025-03-16T03:43:20Z
1.0,2025-03-16T18:28:30Z
1.0,2025-03-16T20:58:30Z
3.0,2025-03-16T21:13:30Z
2.0,2025-03-16T21:28:30Z
1.0,2025-03-16T21:43:30Z
1.0,2025-03-16T22:28:30Z
1.0,2025-03-17T01:13:30Z
1.0,2025-03-17T01:28:30Z
1.0,2025-03-17T01:43:30Z
1.0,2025-03-17T02:43:30Z
2.0,2025-03-17T02:58:30Z
1.0,2025-03-17T03:13:30Z
5.0,2025-03-17T03:43:30Z
1.0,2025-03-17T04:13:30Z
10.0,2025-03-17T04:28:30Z
2.0,2025-03-17T04:43:30Z
11.0,2025-03-17T04:58:30Z
1.0,2025-03-17T05:13:30Z
1.0,2025-03-17T05:43:30Z
1.0,2025-03-17T12:43:30Z
20.0,2025-03-17T12:58:30Z
32.0,2025-03-17T13:13:30Z
3.0,2025-03-17T13:28:30Z
7.0,2025-03-17T13:43:30Z
2.0,2025-03-17T13:58:30Z
2.0,2025-03-17T16:58:30Z
1.0,2025-03-17T18:28:30Z
6.0,2025-03-17T18:43:30Z
6.0,2025-03-17T18:58:30Z
2.0,2025-03-17T19:13:30Z
1.0,2025-03-17T19:58:40Z
4.0,2025-03-17T20:13:40Z
3.0,2025-03-17T20:28:40Z
2.0,2025-03-17T20:58:40Z
2.0,2025-03-17T21:13:40Z
2.0,2025-03-17T21:43:40Z
9.0,2025-03-17T21:58:40Z
1.0,2025-03-17T22:13:40Z
1.0,2025-03-17T22:43:40Z
1.0,2025-03-17T23:13:40Z
1.0,2025-03-18T00:13:40Z
1.0,2025-03-18T00:28:40Z
1.0,2025-03-18T01:28:40Z
1.0,2025-03-18T04:13:40Z
1.0,2025-03-20T03:29:10Z
2.0,2025-03-20T03:44:10Z
2.0,2025-03-20T03:59:10Z
13.0,2025-03-20T04:14:10Z
8.0,2025-03-20T04:29:10Z
8.0,2025-03-20T04:44:10Z
7.0,2025-03-20T04:59:10Z
7.0,2025-03-20T05:14:10Z
14.0,2025-03-20T05:29:10Z
10.0,2025-03-20T05:44:10Z
7.0,2025-03-20T06:14:10Z
5.0,2025-03-20T06:29:10Z
1.0,2025-03-20T08:29:20Z
3.0,2025-03-20T13:14:20Z
6.0,2025-03-20T14:44:20Z
8.0,2025-03-20T14:59:20Z
11.0,2025-03-20T15:14:20Z
6.0,2025-03-20T15:29:20Z
5.0,2025-03-20T15:44:20Z
3.0,2025-03-20T15:59:20Z
1.0,2025-03-20T16:14:20Z
3.0,2025-03-20T16:29:20Z
10.0,2025-03-20T16:44:20Z
17.0,2025-03-20T16:59:20Z
6.0,2025-03-20T17:14:20Z
3.0,2025-03-20T17:29:20Z
1.0,2025-03-20T17:44:20Z
4.0,2025-03-20T21:14:20Z
2.0,2025-03-20T21:29:20Z
19.0,2025-03-20T21:44:20Z
1.0,2025-03-20T21:59:20Z
2.0,2025-03-20T23:29:20Z
1.0,2025-03-21T01:44:30Z
2.0,2025-03-21T13:44:30Z
2.0,2025-03-21T14:29:30Z
5.0,2025-03-21T14:44:30Z
3.0,2025-03-21T15:14:30Z
